premise	hypothesis	label	premise_yoruba	hypothesis_yoruba
And he said, Mama, I'm home.	He called his mom as soon as the school bus dropped him off.	1	O si wipe, Mama, Mo wa ni ile.	O pe iya rẹ lẹsẹkẹsẹ nigbati ọkọ ayọkẹlẹ ti fi ọ silẹ.
And he said, Mama, I'm home.	He didn't say a word.	2	O si wipe, Mama, Mo wa ni ile.	O ko sọ ọrọ kankan.
And he said, Mama, I'm home.	He told his mom he had gotten home.	0	O si wipe, Mama, Mo wa ni ile.	Ó sọ fún ìyá rẹ̀ pé ó ti dé ilé.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I have never been to Washington so when I was assigned there I got lost trying to find the place.	1	Emi ko mọ ohun ti Mo nilo lati ṣe, tabi ohunkohun ti Mo nilo lati ṣe, nitorinaa Mo nilo lati lọ si ibi kan ti o wa ni Ilu Sipeeni.	Emi ko ti lọ si Washington nitorina nigbati mo ti firanṣẹ nibẹ ni mo ti padanu gbiyanju lati wa ibi.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I knew exactly what I needed to do as I marched to Washington.	2	Emi ko mọ ohun ti Mo nilo lati ṣe, tabi ohunkohun ti Mo nilo lati ṣe, nitorinaa Mo nilo lati lọ si ibi kan ti o wa ni Ilu Sipeeni.	Mo mọ ohun ti Mo nilo lati ṣe nigbati mo lọ si Ilu Washington.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I was not quite certain what I was going to do so I went to Washington where I was assigned to report.	0	Emi ko mọ ohun ti Mo nilo lati ṣe, tabi ohunkohun ti Mo nilo lati ṣe, nitorinaa Mo nilo lati lọ si ibi kan ti o wa ni Ilu Sipeeni.	Emi ko ni idaniloju ohun ti Mo nilo lati ṣe, nitorinaa Mo lọ si Ilu Sipeeni, nibiti Mo ti ṣe iṣeduro.
He didn't get to go.	He was the first to be invited and enjoyed the experience.	2	O ko gba lati lọ.	O jẹ akọkọ ti a pe ati ki o gbadun iriri naa.
He didn't get to go.	He wasn't allowed to attend.	0	O ko gba lati lọ.	Wọn ko gba ọ laaye lati lọ.
He didn't get to go.	He wasn't allowed to go to the museum's opening.	1	O ko gba lati lọ.	Wọn ko gba ọ laaye lati lọ si ile-iṣẹ naa.
And I was like OK, and that was it!	After I said yes, it ended.	0	Mo dabi ẹnipe o dara, ati pe eyi ni!	Lẹhin ti Mo sọ bẹẹni, o pari.
And I was like OK, and that was it!	I said no and it dragged on and on.	2	Mo dabi ẹnipe o dara, ati pe eyi ni!	Mo sọ bẹẹ, ati pe o nilo lati lọ siwaju ati siwaju.
And I was like OK, and that was it!	When I said yes, we decided that we would get married that day.	1	Mo dabi ẹnipe o dara, ati pe eyi ni!	Nigbati mo sọ bẹẹni, a pinnu pe a yoo ṣe igbeyawo ni ọjọ yẹn.
I was just there just trying to figure it out.	I understood it well from the beginning.	2	Mo wa nikan nibẹ nìkan gbiyanju lati mọ o.	Mo ti mọ eyi daradara lati ibẹrẹ.
I was just there just trying to figure it out.	I was trying to understand where the money went.	1	Mo wa nikan nibẹ nìkan gbiyanju lati mọ o.	Mo gbiyanju lati mọ ibi ti owo naa ti lọ.
I was just there just trying to figure it out.	I was trying to understand.	0	Mo wa nikan nibẹ nìkan gbiyanju lati mọ o.	Mo gbiyanju lati ni oye.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	Granny's Sister was white and moved to Texas.	2	Ati Granny maa sọ itan nipa bi arabinrin rẹ ati ọkọ arabinrin rẹ ṣe pinnu pe wọn yoo lọ si ilu, si Augusta, ati ki o kọja fun funfun.	Ọmọbinrin naa jẹ ọmọbirin ati pe o gbe lọ si Texas.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	Granny's sister was not white.	0	Ati Granny maa sọ itan nipa bi arabinrin rẹ ati ọkọ arabinrin rẹ ṣe pinnu pe wọn yoo lọ si ilu, si Augusta, ati ki o kọja fun funfun.	Irú Granny ò funfun.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	Granny's sister wasn't white but she wanted to be so she could go to school.	1	Ati Granny maa sọ itan nipa bi arabinrin rẹ ati ọkọ arabinrin rẹ ṣe pinnu pe wọn yoo lọ si ilu, si Augusta, ati ki o kọja fun funfun.	Ọmọbinrin naa ko fẹ lati lọ si ile-iwe, ṣugbọn o fẹ lati lọ si ile-iwe.
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	His dad had never owned anything in his life.	2	Ṣugbọn o jẹ, o mọ, ni ọpọlọpọ awọn ọna, gẹgẹbi ọmọ ti oluwa ọgbin nitori o jẹ ọmọ eniyan yii ti o ni ọpọlọpọ ohun-ini.	Baba rẹ ko ni ohunkohun ninu igbesi aye rẹ.
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	His dad owned 2000 acres of farmland.	1	Ṣugbọn o jẹ, o mọ, ni ọpọlọpọ awọn ọna, gẹgẹbi ọmọ ti oluwa ọgbin nitori o jẹ ọmọ eniyan yii ti o ni ọpọlọpọ ohun-ini.	Bàbá rẹ̀ ní ẹgbẹ̀rún méjì (2000 acres of farmland).
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	His dad owned a lot of property.	0	Ṣugbọn o jẹ, o mọ, ni ọpọlọpọ awọn ọna, gẹgẹbi ọmọ ti oluwa ọgbin nitori o jẹ ọmọ eniyan yii ti o ni ọpọlọpọ ohun-ini.	Baba rẹ ni ọpọlọpọ awọn ohun-ini.
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	I didn't have a job so I just kept all the boxes at home.	2	Ṣugbọn iṣẹ mi ni lati fi awọn parachutes sinu rẹ ati awọn olugbeja igbesi aye nigbati a yoo gbe o si bẹrẹ si ipo okeokun.	Emi ko ni iṣẹ kan, nitorinaa Mo ṣetọju gbogbo awọn apoti ni ile.
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	I shipped the boxes to Japan.	1	Ṣugbọn iṣẹ mi ni lati fi awọn parachutes sinu rẹ ati awọn olugbeja igbesi aye nigbati a yoo gbe o si bẹrẹ si ipo okeokun.	Mo fi awọn apoti naa ranṣẹ si Japan.
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	I shipped them out.	0	Ṣugbọn iṣẹ mi ni lati fi awọn parachutes sinu rẹ ati awọn olugbeja igbesi aye nigbati a yoo gbe o si bẹrẹ si ipo okeokun.	Mo ti gbe wọn jade.
Now that's how, uh, I stay buckled in.	I made sure the buckle was on tight so I would be safe.	1	Nisisiyi eyi ni, oh, Mo duro ni iṣakojọpọ.	Mo ti rii daju pe o wa ni ibi idana, nitorinaa Mo ni ailewu.
Now that's how, uh, I stay buckled in.	That is exactly how I was unhooked.	2	Nisisiyi eyi ni, oh, Mo duro ni iṣakojọpọ.	Eyi ni bi o ṣe jẹ pe emi ko ni ibanujẹ.
Now that's how, uh, I stay buckled in.	That is precisely how I was fastened in.	0	Nisisiyi eyi ni, oh, Mo duro ni iṣakojọpọ.	Eyi ni bi o ṣe jẹ pe Mo wa ninu ọran yii.
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	He was so faithful and nice.	2	Ati awọn ti o wà a philanderer, ohun d oh bẹẹni, o wà bi jade nibẹ. Ati, ah, ki, o mọ, Emi ko fẹran rẹ, ṣugbọn sibẹsibẹ awon ni o wa mi itan.	O jẹ igbẹkẹle ati ki o dara.
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	I hated him because he was so arrogant.	1	Ati awọn ti o wà a philanderer, ohun d oh bẹẹni, o wà bi jade nibẹ. Ati, ah, ki, o mọ, Emi ko fẹran rẹ, ṣugbọn sibẹsibẹ awon ni o wa mi itan.	Mo korira rẹ nitori ti o jẹ ki igberaga.
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	I wasn't a fan of his.	0	Ati awọn ti o wà a philanderer, ohun d oh bẹẹni, o wà bi jade nibẹ. Ati, ah, ki, o mọ, Emi ko fẹran rẹ, ṣugbọn sibẹsibẹ awon ni o wa mi itan.	Emi ko jẹ olufẹ rẹ.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	All of the instruments in the aircraft were intact.	2	Nigbati mo ba fa, nigbati o ba fa aṣọ naa fun mi lati bẹrẹ si mu u jade, o tọka si awọn ohun elo meji ni apa osi ti ọkọ ofurufu ti o ti bajẹ lakoko flight naa.	Gbogbo awọn ohun elo ti o wa ninu ọkọ ofurufu naa jẹ alailẹgbẹ.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	It was difficult to get him out.	1	Nigbati mo ba fa, nigbati o ba fa aṣọ naa fun mi lati bẹrẹ si mu u jade, o tọka si awọn ohun elo meji ni apa osi ti ọkọ ofurufu ti o ti bajẹ lakoko flight naa.	O nira lati jade kuro.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	There were instruments in the aircraft that melted.	0	Nigbati mo ba fa, nigbati o ba fa aṣọ naa fun mi lati bẹrẹ si mu u jade, o tọka si awọn ohun elo meji ni apa osi ti ọkọ ofurufu ti o ti bajẹ lakoko flight naa.	Awọn ohun elo ti o wa ninu ọkọ ofurufu naa ti bajẹ.
